RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2
2,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2
3,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1
4,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2
5,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1
6,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2
7,Balblair,2,3,2,1,0,0,2,0,2,1,2,1
8,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2
9,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2
10,Benriach,2,2,1,0,0,2,2,0,0,2,3,2
11,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2
12,Benromach,2,2,2,0,0,2,2,1,2,2,2,2
13,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3
14,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2
15,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2
16,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3
17,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1
18,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2
19,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0
20,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4
21,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2
22,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1
23,Deanston,2,2,1,0,0,2,1,1,1,3,2,1
24,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2
25,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1
26,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3
27,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2
28,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1
29,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1
30,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2
31,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1
32,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2
33,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0
34,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2
35,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2
36,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2
37,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2
38,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0
39,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2
40,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2
41,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1
42,Knochando,2,3,1,0,0,2,2,1,2,1,2,2
43,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2
44,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2
45,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3
46,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2
47,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2
48,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2
49,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1
50,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2
51,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2
52,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1
53,Scapa,2,2,1,1,0,2,1,1,2,2,2,2
54,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2
55,Springbank,2,2,2,2,0,2,2,1,2,1,0,1
56,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2
57,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2
58,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2
59,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3
60,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2
61,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2
62,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1
63,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2
64,Tormore,2,2,1,0,0,1,0,1,2,1,0,0
